CIK|Ticker|Name|Exchange|SIC|Business|Incorporated|IRS
841071|ABER|Dominion Diamond Corp|NYSE|1000|A6|A6|
1297533|ABEW|Airbee Wireless Inc||7372|MD|DE|460500345
3000|ABF|Airborne Inc||4513|WA|DE|912065027
772349|ABFI|American Business Financial Services Inc||6162|PA|DE|870418807
894405|ABFS|Arkansas Best Corp|NASDAQ|4213|AR|DE|710673405
1144980|ABG|Asbury Automotive Group Inc|NYSE|5500|GA|DE|10609375
1036140|ABGTF|Assistglobal Technologies Corp||7372|||
1052837|ABGX|Abgenix Inc||2836|CA|DE|943248826
1393066|ABH|Resolute Forest Products Inc|NYSE|2621|A8|DE|980526415
1405858|ABHD|Abtech Holdings Inc|OTC|1090|AZ|NV|141994102
1052489|ABHH|American Bank Note Holographics Inc||7389|NY|DE|133317668
77551|ABI|Applied Biosystems Inc|NYSE ARCA|3826|CT|DE|61534213
1409012|ABII|Abraxis Bioscience Inc|NASDAQ|2834|CA|DE|300431735
845779|ABIX|Abatix Corp||5084|TX|DE|751908110
874501|ABK|Ambac Financial Group Inc|NASDAQ|6351|NY|DE|133621676
1332044|ABKB|American Basketball Association Inc|OTC|6770|IN|UT|870376691
1400000|ABKI|Abakan Inc|OTC|3470|FL|NV|980507522
4611|ABL|American Biltrite Inc||3089|MA|DE|41701350
1065728|ABLE|Able Energy Inc|OTC|5990|NJ|DE|223520840
771497|ABM|Abm Industries Inc|NYSE|7340|NY|DE|941369354
896747|ABMC|American Bio Medica Corp|OTC|2834|NY|NY|141702188
815094|ABMD|Abiomed Inc|NASDAQ|3841|MA|DE|42743260
1385799|ABMT|Advanced Biomedical Technologies Inc|OTC|3842|NY|NV|980516589
721238|ABNC|American Bancorp Inc|OTC|6022|LA|LA|720951347
1330039|ABNJ|American Bancorp Of New Jersey Inc||6035|NJ|NJ|550897507
1140472|ABNS|Alliance Bancshares California||6021|CA|CA|912124567
1138862|ABOS|Arbios Systems Inc||3841|CA|DE|911955323
1342916|ABOZ|American Bonanza Resources Corp||1000|A1|NV|202781289
1096182|ABPH|Advanced Biophotonics Inc||3829|NY|DE|841209909
1310094|ABPI|Accentia Biopharmaceuticals Inc|OTC|2834|FL|FL|
816958|ABPR|Caspian International Oil Corp|OTC|6770|TX|DE|205588710
1253986|ABR|Arbor Realty Trust Inc|NYSE|6798|NY|MD|200057959
1923|ABRI|Servidyne Inc||1540|GA|GA|580522129
803097|ABRK|Sportsquest Inc||7900|FL|NJ|222742564
1112706|ABRM|Canyon Copper Corp||1000|A1||880454792
857171|ABRX|Able Laboratories Inc||2835|NJ|DE|330659916
3333|ABS|Albertsons Inc|NYSE|5411|ID|DE|820184434
1355833|ABS|New Albertsons Inc||5140|ID|DE|204067706
1204947|ABSC|Giant Motorsports Inc||5900|OH|NV|331025552
1800|ABT|Abbott Laboratories|NYSE|2834|IL|IL|360698440
1023364|ABTL|Autobytel Inc|NASDAQ|7370|CA|DE|330711569
1435161|ABTO|Ab&t Financial Corp|OTC|6021|NC|NC|262588442
1181001|ABVA|Alliance Bankshares Corp||6021|VA||460488111
1043533|ABVT|Abovenet Inc|NYSE|4899|NY|DE|113168327
1035632|ABWG|Watley A B Group Inc|OTC|6211|NY|DE|133911867
1002360|ABWS|Absolute Potential Inc||2851|IL|FL|593223708
1304623|ACA|Aca Capital Holdings Inc|NYSE|6351|NY||
1070494|ACAD|Acadia Pharmaceuticals Inc|NASDAQ|2834|CA|DE|61376651
904020|ACAI|Flyi Inc||4512|VA|DE|133621051
1118148|ACAP|American Physicians Capital Inc||6324|MI|MI|
1429896|ACAR|Activecare Inc|OTC|3669|UT|DE|870578125
817473|ACAS|American Capital LTD|NASDAQ||MD||521451377
719866|ACAT|Arctic Cat Inc|NASDAQ|3790|MN|MN|411443470
1106980|ACBA|American Community Bancshares Inc||6022|NC|NC|
1303476|ACBP|American Community Bancorp Inc||6035|IN|IN|201541152
1283630|ACC|American Campus Communities Inc|NYSE|6798|TX|MD|760753089
1001463|ACCA|Acacia Diversified Holdings Inc|OTC|5010|FL|TX|752095676
1002388|ACCL|Accelrys Inc|NASDAQ|7372|CA|DE|330557266
1388132|ACCM|Hangover Joes Holding Corp||6552|CO|CO|208097969
318306|ACCP|Access Pharmaceuticals Inc|OTC|2834|TX|DE|830221517
1041588|ACCR|Access Power Inc|OTC|4813|MI|FL|
1337566|ACCY|Alternative Construction Company Inc||3448|FL|FL|201776133
847917|ACD|Asconi Corp|NYSE MKT|2080|FL|NV|911395124
1071941|ACDI|Arcadia Resources Inc|NYSE MKT|7200|MI|NV|880331369
1068887|ACDO|Accredo Health Inc||8090|TN|DE|621642871
1390449|ACDQ|Arcade Acquisition Corp||6770|CT||208348580
896159|ACE|Ace LTD|NYSE|6331|V8|V8|
1017526|ACEC|Ace Comm Corp||3669|MD|MD|521283030
708717|ACEL|Tamir Biotechnology Inc||2836|CA|DE|222369085
2034|ACET|Aceto Corp|NASDAQ|5160|NY|NY|111720520
804269|ACF|General Motors Financial Company Inc||6199|TX|TX|752291093
1284077|ACFC|Atlantic Coast Federal Corp|NASDAQ|6035|GA|X1|593764686
1404296|ACFC|Atlantic Coast Financial Corp|NASDAQ|6035|GA|MD|
880984|ACFN|Acorn Energy Inc|NASDAQ|8711|DE|DE|222786081
816754|ACG|Alliancebernstein Income Fund Inc|NYSE||NY|DE|133420585
949394|ACGI|Amacore Group Inc|OTC|7389|TX|DE|593206480
947484|ACGL|Arch Capital Group LTD|NASDAQ|6331|D0||
1520697|ACHC|Acadia Healthcare Company Inc|NASDAQ|8093|TN|DE|
1132487|ACHI|Americhip International Inc||3550|MI||
1070336|ACHN|Achillion Pharmaceuticals Inc|NASDAQ|2834|CT|DE|
1037676|ACI|Arch Coal Inc|NYSE|1221|MO|DE|430921172
1138462|ACIE|Acies Corp|OTC|7389|NY|NV|912079553
1020998|ACIT|Aci Telecentrics Inc||7389|MN||411572571
935036|ACIW|Aci Worldwide Inc|NASDAQ|7372|FL|DE|470772104
1109304|ACKHQ|Armstrong Holdings Inc||3089|PA|PA|233033414
1067588|ACLA|Aclara Biosciences Inc||3829|CA|DE|943222727
1324479|ACLI|American Commercial Lines Inc||4400|IN|DE|753177794
934445|ACLO|Usmart Mobile Device Inc||5065|K3||161642709
1113232|ACLS|Axcelis Technologies Inc|NASDAQ|3559|MA|DE|341818596
868857|ACM|Aecom Technology Corp|NYSE|8711|CA|DE|611088522
934543|ACMC|American Church Mortgage Co|OTC|6500|MN|MN|411793975
1092013|ACME|Acme Communications Inc|OTC|4833|CA|DE|330866283
1483096|ACMP|Access Midstream Partners LP|NYSE|4922|OK|DE|800534394
1042809|ACMR|Ac Moore Arts & Crafts Inc||5945|NJ|PA|223527763
2062|ACMTA|Acmat Corp|OTC|6351|CT|CT|60682460
1134538|ACN|Accenture LTD|NYSE|7389|D0||
1467373|ACN|Accenture PLC|NYSE|7389|L2|L2|980627530
715579|ACNB|Acnb Corp|NASDAQ|6022|PA|PA|232233457
1123448|ACNI|American Idc Corp|OTC|7389|CA|FL|650941058
813621|ACO|Amcol International Corp|NYSE|1400|IL|DE|360724340
1469433|ACOM|Ancestrycom Inc|NASDAQ|7374|UT|DE|261235962
1008848|ACOR|Acorda Therapeutics Inc|NASDAQ|2836|NY||
1503290|ACP|Avenue Income Credit Strategies Fund|NYSE||NY||
1040599|ACPQL|Neenah Foundry Co||3320|WI|WI|391580331
1044435|ACPW|Active Power Inc|NASDAQ|4911|TX|DE|742642142
787784|ACR|American Retirement Corp||8051|TN|TN|621674303
1529377|ACRE|Ares Commercial Real Estate Corp|NYSE|6798|IL|MD|453148087
711307|ACRG|Acr Group Inc|NYSE MKT|5070|TX|TX|742008473
1228386|ACRI|Acro Inc|OTC|8742|L3|NV|
883296|ACRO|Acrodyne Communications Inc||3663|MD|DE|113067564
1497251|ACRO|Acroboo Inc||7389|FL|NV|
1087243|ACRU|Accrue Software Inc||7372|CA|DE|943238684
1427925|ACRX|Acelrx Pharmaceuticals Inc|NASDAQ|2834|CA|DE|
2135|ACS|Affiliated Computer Services Inc||7374|TX|DE|510310342
1581934|ACSF|American Capital Senior Floating LTD|NASDAQ||MD|MD|461996220
1137587|ACSH|Renew Energy Resources Inc||7389|LA|NV|880503197
884629|ACT|Actavis Inc|NYSE|2834|NJ|NV|953872914
1578845|ACT|Actavis PLC|NYSE|2834|L2|L2|
1140098|ACTC|Advanced Cell Technology Inc|OTC|2834|MA|DE|870656515
1437517|ACTC|Advanced Credit Technologies Inc|OTC|7372|MN|NV|
934549|ACTG|Acacia Research Corp|NASDAQ|6794|CA|DE|954405754
1183941|ACTI|Actividentity Corp||7372|CA|DE|450485038
907687|ACTL|Actel Corp|OTCBB|3674|CA|CA|770097724
1296286|ACTN|Longhai Steel Inc|NASDAQ|3310|F4|NV|113699388
1342068|ACTS|Actions Semiconductor Co LTD|NASDAQ|3674|F4|E9|
918709|ACTT|Act Teleconferencing Inc|OTC|4899|CO|CO|841132665
1062478|ACTU|Actuate Corp||7372|CA|DE|943193197
1163932|ACTV|Active Network Inc|NYSE|7372|CA|DE|330884962
2098|ACU|Acme United Corp|NYSE MKT|3420|CT|CT|60236700
764794|ACUP|Rudy Nutrition||3579|NV|NV|112751630
786947|ACUR|Acura Pharmaceuticals Inc|NASDAQ|2834|IL|NY|110853640
1115143|ACUS|Acusphere Inc|OTC|2834|MA|DE|43208947
3327|ACV|Alberto Culver Co||2844|IL|DE|362257936
1368457|ACV|Alberto-culver Co|NYSE|2844|IL|DE|
727347|ACVE|Active Link Communications Inc||5065|IL|CO|840917382
817979|ACW|Accuride Corp|NYSE|3714|IN|DE|611109077
733269|ACXM|Acxiom Corp|NASDAQ|7374|AR|DE|710581897
1036848|ACY|Aerocentury Corp|NYSE MKT|7359|CA|DE|943263974
801622|AD|Valassis Direct Mail Inc|NYSE|7331|CT|DE|60885252
1422222|ADAC|Adama Technologies Corp|OTC|4899|FL|DE|980552470
863650|ADAM|Adam Inc||7372|GA|GA|581878070
16357|ADAPQ|Ab Liquidating Corp||3663|CA|DE|941668412
885074|ADAT|Authentidate Holding Corp|NASDAQ|7373|NJ|DE|141673067
712034|ADB|Acco Brands Corp|NYSE|2780|IL|DE|362704017
796343|ADBE|Adobe Systems Inc|NASDAQ|7372|CA|DE|770019522
1077926|ADBL|Audible Inc||7389|NJ||223407945
1081751|ADBN|Americana Publishing Inc|OTC|2741|NM|CO|841453702
917251|ADC|Agree Realty Corp|NYSE|6798|MI|DE|383148187
943184|ADCC|Ever-glory International Group Inc|OTC|2300|CA|FL|650548697
61478|ADCT|Adc Telecommunications Inc||3661|MN|MN|410743912
932127|ADDI|Addison Davis Diagnostics||2834|CA|DE|721148906
1446885|ADEC|Terrasol Holdings LTD|OTC|1040|CA|NV|
865415|ADEP|Adept Technology Inc|NASDAQ|3559|CA|DE|942900635
1223112|ADES|Ada-es Inc|NASDAQ|2890||CO|841457335
1515156|ADES|Advanced Emissions Solutions Inc|NASDAQ|2890|CO||275472457
884498|ADEX|Ade Corp||3825|MA|MA|42441829
910524|ADF|Acm Managed Dollar Income Fund Inc|||NJ|MD|223256305
3952|ADG|Allied Defense Group Inc||3480|VA|DE|42281015
1471278|ADG|Aberdeen Global Diversified Fixed Income Fund Inc|||PA|MD|
1109744|ADGD|Andresmin Gold Corp||9995|A1|MT|841365550
1378706|ADGE|American DG Energy Inc|NYSE MKT|4900|MA|DE|43569304
1059763|ADGF|Adams Golf Inc|NASDAQ|3949|TX|DE|752320087
1389217|ADGL|Alldigital Holdings Inc|OTCBB|5531|CA|NV|205354797
1211583|ADHXF|Adherex Technologies Inc|OTC|2836|NC||
6281|ADI|Analog Devices Inc|NASDAQ|3674|MA|MA|42348234
891554|ADI|Document Technologies Inc|NASDAQ||NY|NY|
770403|ADIC|Advanced Digital Information Corp||3572|WA|WA|911618616
1096935|ADIF|American Development & Investment Fund Inc||6799|FL||841517715
1004724|ADK|Adcare Health Systems Inc|NYSE MKT|8051|GA|OH|311332119
796486|ADLAC|Adelphia Communications Corp||4841|CO|DE|232417713
1085129|ADLE|Zealous Inc||6200|CA|NV|880325940
874388|ADLI|American Medical Technologies Inc|OTC|3843|TX|DE|382905258
1076167|ADLR|Adolor Corp||2834|PA||311429198
1322734|ADLS|Advanced Life Sciences Holdings Inc|OTC|2836|||300296543
1002125|ADLTQ|Advanced Lighting Technologies Inc||3640|OH|OH|341803229
894537|ADLU|Brightec Inc||3081|MA|NV|870438637
7084|ADM|Archer Daniels Midland Co|NYSE|2070|IL|DE|410129150
1486315|ADMC|Americas Diamond Corp|OTCBB|1000|X0|NV|271614533
1449349|ADMD|Advanced Medical Isotope Corp|OTC|2810|WA|DE|800138937
806514|ADMG|Advanced Materials Group Inc||3086|CA|NV|330215295
1201663|ADNC|Audience Inc|NASDAQ|3674|CA|DE|912061537
1129018|ADNT|Gold Hills Mining LTD||1040|NY||881471870
1029762|ADNW|Auto Data Network||7389|NY|DE|133944580
700815|ADNY|Adino Energy Corp|OTC|5171|TX|MT|820369233
8670|ADP|Automatic Data Processing Inc|NASDAQ|7374|NJ|DE|221467904
1028087|ADPI|American Dental Partners Inc||8090|MA|DE|43297858
709804|ADPT|Steel Excel Inc||1389|CA|DE|942748530
1445815|ADRV|US Rare Earth Minerals Inc||5150|NV|NV|262797630
1123337|ADRX|Andrx Corp||2834|FL|DE|651013859
1101215|ADS|Alliance Data Systems Corp|NYSE|7389|TX|DE|311429215
1052773|ADSC|Atlantic Data Services Inc||7374|MA|MA|42696393
769397|ADSK|Autodesk Inc|NASDAQ|7372|CA|DE|942819853
901899|ADSM|Ads Media Group Inc||7331|TX|UT|870505222
1103544|ADSO|Adsero Corp|OTC|3570|A8|DE|650602729
1403243|ADSO|Ads In Motion Inc|OTC|7310|CA||954856713
1091599|ADST|Adstar Inc|OTC|7372|CA|DE|223666899
1452206|ADSY|Nanoasia LTD||7389|F4|NV|
1546640|ADT|Adt Corp|NYSE|7381|FL|DE|454517261
770034|ADTI|Advance Display Technologies Inc||6794|CO|CO|840969445
1428397|ADTM|Adaptive Medias Inc|OTCBB|7310|CA|NV|260685980
926282|ADTN|Adtran Inc|NASDAQ|3661|AL|DE|630918200
1115463|ADTR|Alliance Distributors Holding Inc|OTC|3577|NY|DE|330851302
1468328|ADUS|Addus Homecare Corp|NASDAQ|8082|IL|DE|205340172
791833|ADVB|Advanced Biotherapy Inc||8731|IL|DE|510402415
1100820|ADVC|Advanced Communications Technologies Inc|OTC|7389|NY|FL|650738251
96638|ADVNB|Advanta Corp||6141|PA|DE|231462070
1012956|ADVP|Advancepcs|OTC|5912|TX|DE|752493381
786623|ADVR|Advanced Viral Research Corp||2834|NY|DE|592646820
1002225|ADVS|Advent Software Inc|NASDAQ|7371|CA|DE|942901952
2230|ADX|Adams Express Co|NYSE||MD|MD|134912740
1402531|ADXM|Support Span Inc|OTC|7389|NC|NV|208755674
1100397|ADXS|Advaxis Inc|NASDAQ|2834|NJ|DE|841521955
789868|ADY|Feihe International Inc|NYSE|2020|CA|UT|870445575
1123580|ADYE|Aradyme Corp||7372|UT|DE|330619254
1346848|ADYN|Eagle Ridge Ventures Inc||5130|WA|NV|760773943
902482|ADZA|Adeza Biomedical Corp||3825|CA|DE|770054952
1102013|ADZR|Adzone Research Inc||8700|NY|DE|880420405
2178|AE|Adams Resources & Energy Inc|NYSE MKT|5172|TX|DE|741753147
1299704|AEA|Advance America Cash Advance Centers Inc|NYSE|6141|SC|DE|582332639
738214|AEBF|Aemetis Inc||2860|CA|NV|261407544
911635|AEC|Associated Estates Realty Corp|NYSE|6798|OH|OH|341747603
705003|AEDU|American Education Corp||7372|OK|NV|731621446
1002910|AEE|Ameren Corp|NYSE|4931|MO|MO|431723446
854608|AEEI|American Environmental Energy Inc|OTC|1381|CA|MN|411619632
1424549|AEGA|Aegea Inc|OTCBB|5900|FL|CO|412230041
843212|AEGG|American Energy Group LTD|OTC|1311|CT|NV|870448843
1039160|AEGN|Aerogen Inc|NASDAQ|3841|CA|DE|330488580
1338042|AEGR|Aegerion Pharmaceuticals Inc|NASDAQ|2834|MA|DE|202960116
1446896|AEGY|Alternative Energy Partners Inc|OTCBB|2860|FL|FL|262862564
1421874|AEHI|Alternate Energy Holdings Inc|OTC|1540|ID|NV|205689191
1040470|AEHR|Aehr Test Systems|NASDAQ|3825|CA|CA|942424084
1041651|AEHZF|Asia Electronics Holding Co Inc||3679|NY|F5|
927003|AEIS|Advanced Energy Industries Inc|NASDAQ|3679|CO|DE|840846841
1039828|AEL|American Equity Investment Life Holding Co|NYSE|6311|IA|IA|421447959
882291|AEMD|Aethlon Medical Inc|OTCBB|3826|CA|NV|133632859
722077|AEN|Amc Entertainment Inc||7830|MO|DE|431304369
1041829|AEN|Austral Pacific Energy LTD||1382|Q2|B0|
1398235|AENA|Id Perfumes Inc||2844|FL|NV|208837626
1136725|AEND|American Enterprise Development Corp||2080|TX|TX|760649310
1043225|AENG|Advanced Engine Technologies Inc|OTC|3510|CA|CO|841358194
1111391|AENP|American Energy Production Inc|OTC|1311|TX||
1175867|AENS|Alternative Energy Sources Inc||2860|MO||
1137239|AENY|Americas Energy Co - Aeco||1000|TN|NV|980414501
919012|AEO|American Eagle Outfitters Inc|NYSE|5651|PA|DE|132721761
1343257|AEOH|Novori Inc||7389|A1|DE|470948014
4904|AEP|American Electric Power Co Inc|NYSE|4911|OH|NY|134922640
785787|AEPI|Aep Industries Inc|NASDAQ|3081|NJ|DE|221916107
1378789|AER|Aercap Holdings NV|NYSE|7359|P7|P7|
879911|AERG|Applied Energetics Inc|OTC|3812|AZ|DE|770262908
1337553|AERI|Aerie Pharmaceuticals Inc|NASDAQ|2836|NC|DE|203109565
1316644|AERO|Aerogrow International Inc|OTC|5200|CO|NV|460510685
1277270|AERR|Telanetixinc||7385|WA|DE|770622733
849706|AERT|Advanced Environmental Recycling Technologies Inc|OTC|2430|AR|DE|710675758
874761|AES|Aes Corp|NYSE|4991|VA|DE|541163725
1043432|AESK|American Skiing Co||7990|ME|DE|43373730
1026744|AESP|Aesp Inc||3576|FL|FL|592327381
1122304|AET|Aetna Inc|NYSE|6324|CT|PA|232229683
874389|AETC|Applied Extrusion Technologies Inc||3081|DE|DE|510295865
1043186|AETI|American Electric Technologies Inc|NASDAQ|3620|TX|FL|593410234
351129|AEXB|Amerex Group Inc||4953|OK|OK|204898182
1388486|AEXP|Spotlight Innovation Inc|OTC|1389|IA|NV|980518266
874292|AEY|Addvantage Technologies Group Inc|NASDAQ|5000|OK|OK|731351610
910322|AF|Astoria Financial Corp|NYSE|6035|NY|DE|113170868
799231|AFAM|Almost Family Inc|NASDAQ|8300|KY|DE|61153720
1501489|AFAN|Af Ocean Investment Management Co|OTC|5812|NY|FL|141877754
1162027|AFB|Alliancebernstein National Municipal Income Fund|NYSE||NY||
1158865|AFBA|Allied First Bancorp Inc|OTCBB|6035|IL||364482786
1023398|AFBC|Advance Financial Bancorp||6035|WV|DE|550753533
1472093|AFCB|Athens Bancshares Corp|NASDAQ|6035|TN||270920126
898805|AFCI|Advanced Fibre Communications Inc||3661|CA|DE|680277743
1040660|AFCO|Applied Films Corp||3674|CO|CO|841311581
1296595|AFDG|Cross Canyon Energy Corp||1311|TX|NV|562458730
820608|AFEM|Quantrx Biomedical Corp||3841|OR|NV|330202574
1007508|AFFI|Affinity Technology Group Inc||6794|SC|DE|570991269
1282453|AFFM|Friendco Restaurants Inc|OTC||MD|MD|522037752
1282543|AFFM|Affirmative Insurance Holdings Inc|OTC|6331|TX|DE|752770432
1143997|AFFS|American Fiedlity Financial Services Inc||5900|TX||752912201
1433821|AFFW|Affinity Mediaworks Corp|OTCBB|7350|NY|NV|753265854
913077|AFFX|Affymetrix Inc|NASDAQ|3826|CA|DE|770319159
1158223|AFFY|Affymax Inc|OTC|2834|CA|DE|
1042046|AFG|American Financial Group Inc|NYSE|6331|OH|OH|311544320
1012316|AFGI|Firepond Inc||7310|MA|DE|841249735
1539894|AFH|Atlas Financial Holdings Inc|NASDAQ|6331|IL|E9|275466079
4977|AFL|Aflac Inc|NYSE|6321|GA|GA|581167100
1336654|AFMI|Affinity Media International Corp||6770|CA|DE|203315459
1122342|AFOP|Alliance Fiber Optic Products Inc|NASDAQ|3674|CA|CA|770554122
65358|AFP|United Capital Corp||3490|NY|DE|42294493
319126|AFPC|Afp Imaging Corp||3861|NY|NY|132956272
1193558|AFR|American Financial Realty Trust|NYSE|6798|PA||20604479
1365555|AFSI|Amtrust Financial Services Inc|NASDAQ|6331|NY|DE|43106389
1355677|AFSN|Mexus Gold US||1040|NV|NV|204092640
1502573|AFT|Apollo Senior Floating Rate Fund Inc|NYSE||NY||
1167868|AFVS|Afv Solutions Inc||3790|CA|NV|900006843
1421419|AGAM|Aga Medical Holdings Inc|NASDAQ|3845|MN|DE|204757212
1016900|AGAS|Applied Natural Gas Fuels Inc||1311|CA|NV|880350286
842289|AGBG|Ab Holding Group Inc||3089|OR|DE|931143627
1391461|AGC|Advent Claymore Convertible Securities & Income Fund II|NYSE||IL|DE|
1052163|AGCC|Anchor Glass Container Corp||3221|FL|DE|593417812
880266|AGCO|Agco Corp|NYSE|3523|GA|DE|581960019
1006030|AGD|Applied Graphics Technologies Inc|NYSE|7330|NY|DE|133864004
1362481|AGD|Alpine Global Dynamic Dividend Fund|NYSE||NY|DE|
1330323|AGDI|Shamika 2 Gold Inc||1000|NY|NV|980448154
718482|AGE|Edwards A G Inc||6211|MO|DE|431288229
1084122|AGEL|Angelciti Entertainment Inc|OTC|7990|FL|NV|522043569
1098972|AGEN|Agenus Inc|NASDAQ|2836|NY|DE|61562417
1085596|AGGX|Angiogenex Inc|OTC|2834|NY|NV|860945116
811828|AGH|Atlantis Plastics Inc||3081|GA|FL|61088270
800082|AGII|Argonaut Group Inc|NASDAQ|6331|TX|DE|954057601
1091748|AGII|Argo Group International Holdings LTD|NASDAQ|6361|D0||980214719
1088653|AGIL|Agile Software Corp||7372|CA|DE|770397905
1497316|AGIN|American Graphite Technologies Inc|OTCBB|3822|NV|NV|
1439222|AGIO|Agios Pharmaceuticals Inc|NASDAQ|2834|MA|DE|
778426|AGIS|Aegis Communications Group Inc||7389|TX|DE|752050538
1107601|AGIX|Atherogenics Inc||2834|GA|GA|582108232
6571|AGL|Angelica Corp||7200|MO|MO|430905260
845877|AGM|Federal Agricultural Mortgage Corp|NYSE|6111|DC||521578738
725752|AGMB|Along Mobile Technologies Inc||7389|F4|NV|942906927
1030699|AGMG|Mediaworx Inc||7990|VA|WY|980152226
1072816|AGMN|Prolink Holdings Corp||7372|AZ|DE|650656268
820757|AGMX|Am-ch Inc||5812|IL|DE|330147725
850693|AGN|Allergan Inc|NYSE|2834|CA|DE|951622442
1423689|AGNC|American Capital Agency Corp|NASDAQ|6798|MD||261701984
1104502|AGNM|Acrongenomics Inc|OTC|3841|X0|NV|522219285
1112880|AGNT|Argonaut Technologies Inc||2835|CA|DE|943216714
1273813|AGO|Assured Guaranty LTD|NYSE|6351|D0|D0|
1064863|AGP|Amerigroup Corp|NYSE|6324|VA||541739323
1129446|AGR|Agere Systems Inc|NYSE|3674|PA|DE|223746606
726293|AGRC|Agricon Global Corp|OTC|4813|UT|DE|841089377
1101752|AGRD|Augrid Corp||3670|OH|NV|341878390
1352858|AGRT|Laburnum Ventures Inc|OTC|1000|A1|NV|980480810
1139029|AGRX|Algorx Pharmaceuticals Inc||2834|NJ||
1183075|AGSI|Aegis Assessments Inc||3669|AZ|DE|721525702
1310497|AGSM|Silver Stream Mining Corp|OTC|8742|A1|NV|980439650
1321366|AGSX|Greater China Media & Entertainment Corp Formerly Aga Resources Inc||1000|F4|NV|
